run,step,split,layer,metric,value
p5_smoke_n16_j3349138,40,train,11,topk_jaccard,0.3502039313316345
p5_smoke_n16_j3349138,40,train,12,topk_jaccard,0.3762887716293335
p5_smoke_n16_j3349138,40,train,13,topk_jaccard,0.3632051646709442
p5_smoke_n16_j3349138,40,train,14,topk_jaccard,0.266719251871109
p5_smoke_n16_j3349138,40,train,15,topk_jaccard,0.3534320592880249
p5_smoke_n16_j3349138,40,heldout,-1,entropy_conditional,0.03506596386432648
p5_smoke_n16_j3349138,40,heldout,0,margin_mean,0.48353850841522217
p5_smoke_n16_j3349138,40,heldout,1,margin_mean,0.8428540229797363
p5_smoke_n16_j3349138,40,heldout,2,margin_mean,0.8559888601303101
p5_smoke_n16_j3349138,40,heldout,3,margin_mean,0.8732402920722961
p5_smoke_n16_j3349138,40,heldout,4,margin_mean,0.9999993443489075
p5_smoke_n16_j3349138,40,heldout,5,margin_mean,0.9826107025146484
p5_smoke_n16_j3349138,40,heldout,6,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,7,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,8,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,9,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,10,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,11,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,12,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,13,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,14,margin_mean,1
p5_smoke_n16_j3349138,40,heldout,15,margin_mean,1
p5_smoke_n16_j3349138,40,train,0,max_load_frac,0.11284828186035156
p5_smoke_n16_j3349138,40,train,1,max_load_frac,0.12496376037597656
p5_smoke_n16_j3349138,40,train,2,max_load_frac,0.12499618530273438
p5_smoke_n16_j3349138,40,train,3,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,4,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,5,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,6,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,7,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,8,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,9,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,10,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,11,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,12,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,13,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,14,max_load_frac,0.125
p5_smoke_n16_j3349138,40,train,15,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,0,topk_jaccard,0.324951171875
p5_smoke_n16_j3349138,40,heldout,1,topk_jaccard,0.44661352038383484
p5_smoke_n16_j3349138,40,heldout,2,topk_jaccard,0.35369813442230225
p5_smoke_n16_j3349138,40,heldout,3,topk_jaccard,0.34803879261016846
p5_smoke_n16_j3349138,40,heldout,4,topk_jaccard,0.28417086601257324
p5_smoke_n16_j3349138,40,heldout,5,topk_jaccard,0.3292722702026367
p5_smoke_n16_j3349138,40,heldout,6,topk_jaccard,0.4089730679988861
p5_smoke_n16_j3349138,40,heldout,7,topk_jaccard,0.2587173581123352
p5_smoke_n16_j3349138,40,heldout,8,topk_jaccard,0.3239539861679077
p5_smoke_n16_j3349138,40,heldout,9,topk_jaccard,0.3030756711959839
p5_smoke_n16_j3349138,40,heldout,10,topk_jaccard,0.3823350965976715
p5_smoke_n16_j3349138,40,heldout,11,topk_jaccard,0.3445698618888855
p5_smoke_n16_j3349138,40,heldout,12,topk_jaccard,0.379493772983551
p5_smoke_n16_j3349138,40,heldout,13,topk_jaccard,0.3604891896247864
p5_smoke_n16_j3349138,40,heldout,14,topk_jaccard,0.22983381152153015
p5_smoke_n16_j3349138,40,heldout,15,topk_jaccard,0.3778683841228485
p5_smoke_n16_j3349138,40,train,0,top1_agreement,0.0594940185546875
p5_smoke_n16_j3349138,40,train,1,top1_agreement,0.0345001220703125
p5_smoke_n16_j3349138,40,train,2,top1_agreement,0.0753021240234375
p5_smoke_n16_j3349138,40,train,3,top1_agreement,0.018218994140625
p5_smoke_n16_j3349138,40,train,4,top1_agreement,0.0185394287109375
p5_smoke_n16_j3349138,40,train,5,top1_agreement,0.070831298828125
p5_smoke_n16_j3349138,40,train,6,top1_agreement,0.040374755859375
p5_smoke_n16_j3349138,40,train,7,top1_agreement,0.0076904296875
p5_smoke_n16_j3349138,40,train,8,top1_agreement,0.0967864990234375
p5_smoke_n16_j3349138,40,train,9,top1_agreement,0.020477294921875
p5_smoke_n16_j3349138,40,train,10,top1_agreement,0.2529296875
p5_smoke_n16_j3349138,40,train,11,top1_agreement,0.0223846435546875
p5_smoke_n16_j3349138,40,train,12,top1_agreement,0.0431976318359375
p5_smoke_n16_j3349138,40,train,13,top1_agreement,0.0497589111328125
p5_smoke_n16_j3349138,40,train,14,top1_agreement,0.2822265625
p5_smoke_n16_j3349138,40,train,15,top1_agreement,0.1580047607421875
p5_smoke_n16_j3349138,40,heldout,0,max_load_frac,0.11644935607910156
p5_smoke_n16_j3349138,40,heldout,1,max_load_frac,0.12494277954101562
p5_smoke_n16_j3349138,40,heldout,2,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,3,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,4,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,5,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,6,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,7,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,8,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,9,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,10,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,11,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,12,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,13,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,14,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,15,max_load_frac,0.125
p5_smoke_n16_j3349138,40,heldout,0,top1_agreement,0.0540924072265625
p5_smoke_n16_j3349138,40,heldout,1,top1_agreement,0.0354461669921875
p5_smoke_n16_j3349138,40,heldout,2,top1_agreement,0.082550048828125
p5_smoke_n16_j3349138,40,heldout,3,top1_agreement,0.008636474609375
p5_smoke_n16_j3349138,40,heldout,4,top1_agreement,0.0149078369140625
p5_smoke_n16_j3349138,40,heldout,5,top1_agreement,0.1116485595703125
p5_smoke_n16_j3349138,40,heldout,6,top1_agreement,0.078582763671875
p5_smoke_n16_j3349138,40,heldout,7,top1_agreement,0.00408935546875
p5_smoke_n16_j3349138,40,heldout,8,top1_agreement,0.1180572509765625
p5_smoke_n16_j3349138,40,heldout,9,top1_agreement,0.0464935302734375
p5_smoke_n16_j3349138,40,heldout,10,top1_agreement,0.2522430419921875
p5_smoke_n16_j3349138,40,heldout,11,top1_agreement,0.035491943359375
p5_smoke_n16_j3349138,40,heldout,12,top1_agreement,0.051177978515625
p5_smoke_n16_j3349138,40,heldout,13,top1_agreement,0.0079193115234375
p5_smoke_n16_j3349138,40,heldout,14,top1_agreement,0.2364959716796875
p5_smoke_n16_j3349138,40,heldout,15,top1_agreement,0.205902099609375
p5_smoke_n16_j3349138,40,train,0,dead_expert_frac,0
p5_smoke_n16_j3349138,40,train,0,entropy_marginal,0.6566120982170105
p5_smoke_n16_j3349138,40,train,1,dead_expert_frac,0.125
p5_smoke_n16_j3349138,40,train,1,entropy_marginal,0.3858003318309784
p5_smoke_n16_j3349138,40,train,2,dead_expert_frac,0.25
p5_smoke_n16_j3349138,40,train,2,entropy_marginal,0.3899781107902527
p5_smoke_n16_j3349138,40,train,3,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,train,3,entropy_marginal,0.1867479681968689
p5_smoke_n16_j3349138,40,train,4,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,train,4,entropy_marginal,3.638822136053932e-06
p5_smoke_n16_j3349138,40,train,5,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,train,5,entropy_marginal,0.14839424192905426
p5_smoke_n16_j3349138,40,train,6,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,train,6,entropy_marginal,2.4326519465489582e-08
p5_smoke_n16_j3349138,40,train,7,dead_expert_frac,0.5
p5_smoke_n16_j3349138,40,train,7,entropy_marginal,1.0851237686182458e-09
p5_smoke_n16_j3349138,40,train,8,dead_expert_frac,0.5
p5_smoke_n16_j3349138,40,train,8,entropy_marginal,2.64388927417869e-10
p5_smoke_n16_j3349138,40,train,9,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,train,9,entropy_marginal,9.830555258716345e-10
p5_smoke_n16_j3349138,40,train,10,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,train,10,entropy_marginal,4.1205875517258406e-11
p5_smoke_n16_j3349138,40,train,11,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,train,11,entropy_marginal,3.498181909414506e-15
p5_smoke_n16_j3349138,40,train,12,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,train,12,entropy_marginal,4.84327031962522e-30
p5_smoke_n16_j3349138,40,train,13,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,train,13,entropy_marginal,3.9903542814473356e-26
p5_smoke_n16_j3349138,40,train,14,dead_expert_frac,0.5
p5_smoke_n16_j3349138,40,train,14,entropy_marginal,2.9721694190371736e-29
p5_smoke_n16_j3349138,40,train,15,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,train,15,entropy_marginal,1.4091358255014385e-25
p5_smoke_n16_j3349138,40,train,0,effective_experts,6.175039291381836
p5_smoke_n16_j3349138,40,train,1,effective_experts,2.91440486907959
p5_smoke_n16_j3349138,40,train,2,effective_experts,2.948359489440918
p5_smoke_n16_j3349138,40,train,3,effective_experts,1.678289771080017
p5_smoke_n16_j3349138,40,train,4,effective_experts,1.0000101327896118
p5_smoke_n16_j3349138,40,train,5,effective_experts,1.5089834928512573
p5_smoke_n16_j3349138,40,train,6,effective_experts,1.0000001192092896
p5_smoke_n16_j3349138,40,train,7,effective_experts,1
p5_smoke_n16_j3349138,40,train,8,effective_experts,1
p5_smoke_n16_j3349138,40,train,9,effective_experts,1
p5_smoke_n16_j3349138,40,train,10,effective_experts,1
p5_smoke_n16_j3349138,40,train,11,effective_experts,1
p5_smoke_n16_j3349138,40,train,12,effective_experts,1
p5_smoke_n16_j3349138,40,train,13,effective_experts,1
p5_smoke_n16_j3349138,40,train,14,effective_experts,1
p5_smoke_n16_j3349138,40,train,15,effective_experts,1
p5_smoke_n16_j3349138,40,heldout,0,dead_expert_frac,0
p5_smoke_n16_j3349138,40,heldout,0,entropy_marginal,0.6444084048271179
p5_smoke_n16_j3349138,40,heldout,1,dead_expert_frac,0.125
p5_smoke_n16_j3349138,40,heldout,1,entropy_marginal,0.3597741425037384
p5_smoke_n16_j3349138,40,heldout,2,dead_expert_frac,0.25
p5_smoke_n16_j3349138,40,heldout,2,entropy_marginal,0.385486900806427
p5_smoke_n16_j3349138,40,heldout,3,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,heldout,3,entropy_marginal,0.18461011350154877
p5_smoke_n16_j3349138,40,heldout,4,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,heldout,4,entropy_marginal,2.0430184122233186e-06
p5_smoke_n16_j3349138,40,heldout,5,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,heldout,5,entropy_marginal,0.1296945959329605
p5_smoke_n16_j3349138,40,heldout,6,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,heldout,6,entropy_marginal,2.440178370477497e-08
p5_smoke_n16_j3349138,40,heldout,7,dead_expert_frac,0.5
p5_smoke_n16_j3349138,40,heldout,7,entropy_marginal,1.294923168693174e-09
p5_smoke_n16_j3349138,40,heldout,8,dead_expert_frac,0.5
p5_smoke_n16_j3349138,40,heldout,8,entropy_marginal,1.710588892755993e-10
p5_smoke_n16_j3349138,40,heldout,9,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,heldout,9,entropy_marginal,6.894944615254417e-10
p5_smoke_n16_j3349138,40,heldout,10,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,heldout,10,entropy_marginal,3.9406238688810546e-11
p5_smoke_n16_j3349138,40,heldout,11,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,heldout,11,entropy_marginal,2.6951112426721246e-15
p5_smoke_n16_j3349138,40,heldout,12,dead_expert_frac,0.375
p5_smoke_n16_j3349138,40,heldout,12,entropy_marginal,4.6387237701527585e-30
p5_smoke_n16_j3349138,40,heldout,13,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,heldout,13,entropy_marginal,3.6469609723630914e-26
p5_smoke_n16_j3349138,40,heldout,14,dead_expert_frac,0.5
p5_smoke_n16_j3349138,40,heldout,14,entropy_marginal,1.9305845258582998e-29
p5_smoke_n16_j3349138,40,heldout,15,dead_expert_frac,0.4375
p5_smoke_n16_j3349138,40,heldout,15,entropy_marginal,1.41253273451503e-25
p5_smoke_n16_j3349138,40,train,0,mutual_information,0.3702312707901001
p5_smoke_n16_j3349138,40,train,1,mutual_information,0.27211713790893555
p5_smoke_n16_j3349138,40,train,2,mutual_information,0.30243200063705444
p5_smoke_n16_j3349138,40,train,3,mutual_information,0.12670524418354034
p5_smoke_n16_j3349138,40,train,4,mutual_information,1.5203626162474393e-06
p5_smoke_n16_j3349138,40,train,5,mutual_information,0.14016875624656677
p5_smoke_n16_j3349138,40,train,6,mutual_information,2.8022288933726713e-09
p5_smoke_n16_j3349138,40,train,7,mutual_information,2.9668945078498155e-10
p5_smoke_n16_j3349138,40,train,8,mutual_information,4.09622960551026e-11
p5_smoke_n16_j3349138,40,train,9,mutual_information,1.4871409659278356e-10
p5_smoke_n16_j3349138,40,train,10,mutual_information,2.5552667620720726e-12
p5_smoke_n16_j3349138,40,train,11,mutual_information,1.6017136275716683e-16
p5_smoke_n16_j3349138,40,train,12,mutual_information,3.464310914824962e-37
p5_smoke_n16_j3349138,40,train,13,mutual_information,5.222715890573654e-34
p5_smoke_n16_j3349138,40,train,14,mutual_information,4.368628453116408e-37
p5_smoke_n16_j3349138,40,train,15,mutual_information,5.522322584633377e-33
p5_smoke_n16_j3349138,40,heldout,0,effective_experts,5.969597339630127
p5_smoke_n16_j3349138,40,heldout,1,effective_experts,2.711510181427002
p5_smoke_n16_j3349138,40,heldout,2,effective_experts,2.9118733406066895
p5_smoke_n16_j3349138,40,heldout,3,effective_experts,1.6683714389801025
p5_smoke_n16_j3349138,40,heldout,4,effective_experts,1.0000057220458984
p5_smoke_n16_j3349138,40,heldout,5,effective_experts,1.4327415227890015
p5_smoke_n16_j3349138,40,heldout,6,effective_experts,1.0000001192092896
p5_smoke_n16_j3349138,40,heldout,7,effective_experts,1
p5_smoke_n16_j3349138,40,heldout,8,effective_experts,1
p5_smoke_n16_j3349138,40,heldout,9,effective_experts,1
p5_smoke_n16_j3349138,40,heldout,10,effective_experts,1
p5_smoke_n16_j3349138,40,heldout,11,effective_experts,1
p5_smoke_n16_j3349138,40,heldout,12,effective_experts,1
p5_smoke_n16_j3349138,40,heldout,13,effective_experts,1
p5_smoke_n16_j3349138,40,heldout,14,effective_experts,1
p5_smoke_n16_j3349138,40,heldout,15,effective_experts,1
p5_smoke_n16_j3349138,40,train,0,entropy_conditional,0.2863808274269104
p5_smoke_n16_j3349138,40,train,1,entropy_conditional,0.11368319392204285
p5_smoke_n16_j3349138,40,train,2,entropy_conditional,0.08754612505435944
p5_smoke_n16_j3349138,40,train,3,entropy_conditional,0.060042716562747955
p5_smoke_n16_j3349138,40,train,4,entropy_conditional,2.118459406119655e-06
p5_smoke_n16_j3349138,40,train,5,entropy_conditional,0.008225485682487488
p5_smoke_n16_j3349138,40,train,6,entropy_conditional,2.1524289905983096e-08
p5_smoke_n16_j3349138,40,train,7,entropy_conditional,7.884343178332642e-10
p5_smoke_n16_j3349138,40,train,8,entropy_conditional,2.2342663830166032e-10
p5_smoke_n16_j3349138,40,train,9,entropy_conditional,8.343413737676997e-10
p5_smoke_n16_j3349138,40,train,10,entropy_conditional,3.865060702046286e-11
p5_smoke_n16_j3349138,40,train,11,entropy_conditional,3.3380105201875595e-15
p5_smoke_n16_j3349138,40,train,12,entropy_conditional,4.843269943467028e-30
p5_smoke_n16_j3349138,40,train,13,entropy_conditional,3.9903542814473356e-26
p5_smoke_n16_j3349138,40,train,14,entropy_conditional,2.9721694190371736e-29
p5_smoke_n16_j3349138,40,train,15,entropy_conditional,1.409135702241922e-25
p5_smoke_n16_j3349138,40,heldout,0,mutual_information,0.3438258767127991
p5_smoke_n16_j3349138,40,heldout,1,mutual_information,0.2448563426733017
p5_smoke_n16_j3349138,40,heldout,2,mutual_information,0.30351829528808594
p5_smoke_n16_j3349138,40,heldout,3,mutual_information,0.12830735743045807
p5_smoke_n16_j3349138,40,heldout,4,mutual_information,7.213164963104646e-07
p5_smoke_n16_j3349138,40,heldout,5,mutual_information,0.12241224199533463
p5_smoke_n16_j3349138,40,heldout,6,mutual_information,2.6558275578736357e-09
p5_smoke_n16_j3349138,40,heldout,7,mutual_information,3.3403851906754767e-10
p5_smoke_n16_j3349138,40,heldout,8,mutual_information,2.385205921662248e-11
p5_smoke_n16_j3349138,40,heldout,9,mutual_information,1.0126734867332843e-10
p5_smoke_n16_j3349138,40,heldout,10,mutual_information,2.424207969781156e-12
p5_smoke_n16_j3349138,40,heldout,11,mutual_information,8.008564829135891e-17
p5_smoke_n16_j3349138,40,heldout,12,mutual_information,2.2011264450137874e-37
p5_smoke_n16_j3349138,40,heldout,13,mutual_information,-4.916229884875049e-37
p5_smoke_n16_j3349138,40,heldout,14,mutual_information,2.3481579386167925e-38
p5_smoke_n16_j3349138,40,heldout,15,mutual_information,1.1027659643239356e-33
p5_smoke_n16_j3349138,40,heldout,0,entropy_conditional,0.30058252811431885
p5_smoke_n16_j3349138,40,heldout,1,entropy_conditional,0.1149177998304367
p5_smoke_n16_j3349138,40,heldout,2,entropy_conditional,0.08196860551834106
p5_smoke_n16_j3349138,40,heldout,3,entropy_conditional,0.056302759796381
p5_smoke_n16_j3349138,40,heldout,4,entropy_conditional,1.321701915912854e-06
p5_smoke_n16_j3349138,40,heldout,5,entropy_conditional,0.007282361853867769
p5_smoke_n16_j3349138,40,heldout,6,entropy_conditional,2.1745956146901335e-08
p5_smoke_n16_j3349138,40,heldout,7,entropy_conditional,9.608847051367775e-10
p5_smoke_n16_j3349138,40,heldout,8,entropy_conditional,1.4720683005897683e-10
p5_smoke_n16_j3349138,40,heldout,9,entropy_conditional,5.882270781576437e-10
p5_smoke_n16_j3349138,40,heldout,10,entropy_conditional,3.6982028550625046e-11
p5_smoke_n16_j3349138,40,heldout,11,entropy_conditional,2.6150255480586514e-15
p5_smoke_n16_j3349138,40,heldout,12,entropy_conditional,4.6387237701527585e-30
p5_smoke_n16_j3349138,40,heldout,13,entropy_conditional,3.6469609723630914e-26
p5_smoke_n16_j3349138,40,heldout,14,entropy_conditional,1.9305845258582998e-29
p5_smoke_n16_j3349138,40,heldout,15,entropy_conditional,1.41253273451503e-25
p5_smoke_n16_j3349138,80,train,-1,churn_rate,0.33380985260009766
p5_smoke_n16_j3349138,80,train,-1,margin_p10,0.9062949419021606
p5_smoke_n16_j3349138,80,train,-1,margin_mean,0.9652166366577148
p5_smoke_n16_j3349138,80,heldout,-1,churn_rate,0.33577442169189453
p5_smoke_n16_j3349138,80,heldout,-1,margin_p10,0.9075309634208679
p5_smoke_n16_j3349138,80,train,-1,topk_jaccard,0.5395514369010925
p5_smoke_n16_j3349138,80,heldout,-1,margin_mean,0.9650312662124634
p5_smoke_n16_j3349138,80,train,-1,max_load_frac,0.1225360631942749
p5_smoke_n16_j3349138,80,heldout,-1,topk_jaccard,0.5384836792945862
p5_smoke_n16_j3349138,80,train,-1,top1_agreement,0.6661901473999023
p5_smoke_n16_j3349138,80,heldout,-1,max_load_frac,0.12214422225952148
p5_smoke_n16_j3349138,80,heldout,-1,top1_agreement,0.6642255783081055
p5_smoke_n16_j3349138,80,train,-1,dead_expert_frac,0.265625
p5_smoke_n16_j3349138,80,train,-1,entropy_marginal,0.18790258467197418
p5_smoke_n16_j3349138,80,train,-1,effective_experts,2.209263563156128
p5_smoke_n16_j3349138,80,heldout,-1,dead_expert_frac,0.265625
p5_smoke_n16_j3349138,80,heldout,-1,entropy_marginal,0.18948549032211304
p5_smoke_n16_j3349138,80,train,0,margin_p10,0.2708611488342285
p5_smoke_n16_j3349138,80,train,1,margin_p10,0.38359570503234863
p5_smoke_n16_j3349138,80,train,2,margin_p10,0.9382727742195129
p5_smoke_n16_j3349138,80,train,3,margin_p10,0.9809091091156006
p5_smoke_n16_j3349138,80,train,4,margin_p10,0.998345136642456
p5_smoke_n16_j3349138,80,train,5,margin_p10,0.9999992847442627
p5_smoke_n16_j3349138,80,train,6,margin_p10,0.9985186457633972
p5_smoke_n16_j3349138,80,train,7,margin_p10,0.9999992847442627
p5_smoke_n16_j3349138,80,train,8,margin_p10,0.9868744015693665
p5_smoke_n16_j3349138,80,train,9,margin_p10,0.9433431625366211
